Date (LT),Site,Parameter,Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
2018-12-01 01:00:00,Hanoi,PM2.5 - Principal,2018,12,1,1,27.6,84,Moderate,28.0,UG/M3,1 Hr,Valid
2018-12-01 02:00:00,Hanoi,PM2.5 - Principal,2018,12,1,2,35.8,102,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
2018-12-01 03:00:00,Hanoi,PM2.5 - Principal,2018,12,1,3,45.4,125,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
2018-12-01 04:00:00,Hanoi,PM2.5 - Principal,2018,12,1,4,50.2,137,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
2018-12-01 05:00:00,Hanoi,PM2.5 - Principal,2018,12,1,5,55.1,149,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
2018-12-01 06:00:00,Hanoi,PM2.5 - Principal,2018,12,1,6,48.5,133,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
2018-12-01 07:00:00,Hanoi,PM2.5 - Principal,2018,12,1,7,49.2,135,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
2018-12-01 08:00:00,Hanoi,PM2.5 - Principal,2018,12,1,8,48.6,133,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
2018-12-01 09:00:00,Hanoi,PM2.5 - Principal,2018,12,1,9,83.3,165,Unhealthy,118.0,UG/M3,1 Hr,Valid
2018-12-01 10:00:00,Hanoi,PM2.5 - Principal,2018,12,1,10,116.6,183,Unhealthy,150.0,UG/M3,1 Hr,Valid
2018-12-01 11:00:00,Hanoi,PM2.5 - Principal,2018,12,1,11,138.3,194,Unhealthy,160.0,UG/M3,1 Hr,Valid
2018-12-01 12:00:00,Hanoi,PM2.5 - Principal,2018,12,1,12,141.6,195,Unhealthy,145.0,UG/M3,1 Hr,Valid
2018-12-01 13:00:00,Hanoi,PM2.5 - Principal,2018,12,1,13,133.3,191,Unhealthy,125.0,UG/M3,1 Hr,Valid
2018-12-01 14:00:00,Hanoi,PM2.5 - Principal,2018,12,1,14,121.1,185,Unhealthy,109.0,UG/M3,1 Hr,Valid
2018-12-01 15:00:00,Hanoi,PM2.5 - Principal,2018,12,1,15,108.0,178,Unhealthy,95.0,UG/M3,1 Hr,Valid
2018-12-01 16:00:00,Hanoi,PM2.5 - Principal,2018,12,1,16,70.0,158,Unhealthy,32.0,UG/M3,1 Hr,Valid
2018-12-01 17:00:00,Hanoi,PM2.5 - Principal,2018,12,1,17,43.5,121,Unhealthy for Sensitive Groups,17.0,UG/M3,1 Hr,Valid
2018-12-01 18:00:00,Hanoi,PM2.5 - Principal,2018,12,1,18,29.2,87,Moderate,15.0,UG/M3,1 Hr,Valid
2018-12-01 19:00:00,Hanoi,PM2.5 - Principal,2018,12,1,19,22.1,72,Moderate,15.0,UG/M3,1 Hr,Valid
2018-12-01 20:00:00,Hanoi,PM2.5 - Principal,2018,12,1,20,21.0,70,Moderate,20.0,UG/M3,1 Hr,Valid
2018-12-01 21:00:00,Hanoi,PM2.5 - Principal,2018,12,1,21,20.0,68,Moderate,19.0,UG/M3,1 Hr,Valid
2018-12-01 22:00:00,Hanoi,PM2.5 - Principal,2018,12,1,22,18.9,65,Moderate,18.0,UG/M3,1 Hr,Valid
2018-12-01 23:00:00,Hanoi,PM2.5 - Principal,2018,12,1,23,18.9,65,Moderate,19.0,UG/M3,1 Hr,Valid
2018-12-02 00:00:00,Hanoi,PM2.5 - Principal,2018,12,2,0,17.9,63,Moderate,17.0,UG/M3,1 Hr,Valid
2018-12-02 01:00:00,Hanoi,PM2.5 - Principal,2018,12,2,1,15.4,58,Moderate,13.0,UG/M3,1 Hr,Valid
2018-12-02 02:00:00,Hanoi,PM2.5 - Principal,2018,12,2,2,15.7,59,Moderate,16.0,UG/M3,1 Hr,Valid
2018-12-02 03:00:00,Hanoi,PM2.5 - Principal,2018,12,2,3,14.8,57,Moderate,14.0,UG/M3,1 Hr,Valid
2018-12-02 04:00:00,Hanoi,PM2.5 - Principal,2018,12,2,4,14.5,56,Moderate,13.0,UG/M3,1 Hr,Valid
2018-12-02 05:00:00,Hanoi,PM2.5 - Principal,2018,12,2,5,13.3,54,Moderate,12.0,UG/M3,1 Hr,Valid
2018-12-02 06:00:00,Hanoi,PM2.5 - Principal,2018,12,2,6,14.8,57,Moderate,17.0,UG/M3,1 Hr,Valid
2018-12-02 07:00:00,Hanoi,PM2.5 - Principal,2018,12,2,7,16.4,60,Moderate,19.0,UG/M3,1 Hr,Valid
2018-12-02 08:00:00,Hanoi,PM2.5 - Principal,2018,12,2,8,17.8,63,Moderate,20.0,UG/M3,1 Hr,Valid
2018-12-02 09:00:00,Hanoi,PM2.5 - Principal,2018,12,2,9,29.2,87,Moderate,40.0,UG/M3,1 Hr,Valid
2018-12-02 10:00:00,Hanoi,PM2.5 - Principal,2018,12,2,10,33.6,96,Moderate,38.0,UG/M3,1 Hr,Valid
2018-12-02 11:00:00,Hanoi,PM2.5 - Principal,2018,12,2,11,29.8,88,Moderate,26.0,UG/M3,1 Hr,Valid
2018-12-02 12:00:00,Hanoi,PM2.5 - Principal,2018,12,2,12,24.4,77,Moderate,19.0,UG/M3,1 Hr,Valid
2018-12-02 13:00:00,Hanoi,PM2.5 - Principal,2018,12,2,13,15.7,59,Moderate,7.0,UG/M3,1 Hr,Valid
2018-12-02 14:00:00,Hanoi,PM2.5 - Principal,2018,12,2,14,15.8,59,Moderate,16.0,UG/M3,1 Hr,Valid
2018-12-02 15:00:00,Hanoi,PM2.5 - Principal,2018,12,2,15,15.4,58,Moderate,15.0,UG/M3,1 Hr,Valid
2018-12-02 16:00:00,Hanoi,PM2.5 - Principal,2018,12,2,16,13.2,53,Moderate,11.0,UG/M3,1 Hr,Valid
2018-12-02 17:00:00,Hanoi,PM2.5 - Principal,2018,12,2,17,15.6,58,Moderate,18.0,UG/M3,1 Hr,Valid
2018-12-02 18:00:00,Hanoi,PM2.5 - Principal,2018,12,2,18,23.3,75,Moderate,31.0,UG/M3,1 Hr,Valid
2018-12-02 19:00:00,Hanoi,PM2.5 - Principal,2018,12,2,19,29.1,87,Moderate,35.0,UG/M3,1 Hr,Valid
2018-12-02 20:00:00,Hanoi,PM2.5 - Principal,2018,12,2,20,27.5,83,Moderate,26.0,UG/M3,1 Hr,Valid
2018-12-02 21:00:00,Hanoi,PM2.5 - Principal,2018,12,2,21,26.7,82,Moderate,26.0,UG/M3,1 Hr,Valid
2018-12-02 22:00:00,Hanoi,PM2.5 - Principal,2018,12,2,22,24.3,77,Moderate,22.0,UG/M3,1 Hr,Valid
2018-12-02 23:00:00,Hanoi,PM2.5 - Principal,2018,12,2,23,24.6,77,Moderate,25.0,UG/M3,1 Hr,Valid
2018-12-03 00:00:00,Hanoi,PM2.5 - Principal,2018,12,3,0,23.8,76,Moderate,23.0,UG/M3,1 Hr,Valid
2018-12-03 01:00:00,Hanoi,PM2.5 - Principal,2018,12,3,1,19.9,67,Moderate,16.0,UG/M3,1 Hr,Valid
2018-12-03 02:00:00,Hanoi,PM2.5 - Principal,2018,12,3,2,20.9,70,Moderate,22.0,UG/M3,1 Hr,Valid
2018-12-03 03:00:00,Hanoi,PM2.5 - Principal,2018,12,3,3,18.4,64,Moderate,16.0,UG/M3,1 Hr,Valid
2018-12-03 04:00:00,Hanoi,PM2.5 - Principal,2018,12,3,4,17.2,62,Moderate,16.0,UG/M3,1 Hr,Valid
2018-12-03 05:00:00,Hanoi,PM2.5 - Principal,2018,12,3,5,16.1,59,Moderate,15.0,UG/M3,1 Hr,Valid
2018-12-03 06:00:00,Hanoi,PM2.5 - Principal,2018,12,3,6,17.0,61,Moderate,18.0,UG/M3,1 Hr,Valid
2018-12-03 07:00:00,Hanoi,PM2.5 - Principal,2018,12,3,7,17.9,63,Moderate,19.0,UG/M3,1 Hr,Valid
2018-12-03 08:00:00,Hanoi,PM2.5 - Principal,2018,12,3,8,18.3,64,Moderate,19.0,UG/M3,1 Hr,Valid
2018-12-03 09:00:00,Hanoi,PM2.5 - Principal,2018,12,3,9,21.0,70,Moderate,25.0,UG/M3,1 Hr,Valid
2018-12-03 10:00:00,Hanoi,PM2.5 - Principal,2018,12,3,10,24.5,77,Moderate,28.0,UG/M3,1 Hr,Valid
2018-12-03 11:00:00,Hanoi,PM2.5 - Principal,2018,12,3,11,24.2,76,Moderate,24.0,UG/M3,1 Hr,Valid
2018-12-03 12:00:00,Hanoi,PM2.5 - Principal,2018,12,3,12,22.2,72,Moderate,20.0,UG/M3,1 Hr,Valid
2018-12-03 13:00:00,Hanoi,PM2.5 - Principal,2018,12,3,13,21.6,71,Moderate,21.0,UG/M3,1 Hr,Valid
2018-12-03 14:00:00,Hanoi,PM2.5 - Principal,2018,12,3,14,20.9,70,Moderate,20.0,UG/M3,1 Hr,Valid
2018-12-03 15:00:00,Hanoi,PM2.5 - Principal,2018,12,3,15,19.5,67,Moderate,18.0,UG/M3,1 Hr,Valid
2018-12-03 16:00:00,Hanoi,PM2.5 - Principal,2018,12,3,16,21.1,70,Moderate,23.0,UG/M3,1 Hr,Valid
2018-12-03 17:00:00,Hanoi,PM2.5 - Principal,2018,12,3,17,21.0,70,Moderate,21.0,UG/M3,1 Hr,Valid
2018-12-03 18:00:00,Hanoi,PM2.5 - Principal,2018,12,3,18,22.4,73,Moderate,25.0,UG/M3,1 Hr,Valid
2018-12-03 19:00:00,Hanoi,PM2.5 - Principal,2018,12,3,19,23.0,74,Moderate,24.0,UG/M3,1 Hr,Valid
2018-12-03 20:00:00,Hanoi,PM2.5 - Principal,2018,12,3,20,23.3,75,Moderate,24.0,UG/M3,1 Hr,Valid
2018-12-03 21:00:00,Hanoi,PM2.5 - Principal,2018,12,3,21,25.0,78,Moderate,28.0,UG/M3,1 Hr,Valid
2018-12-03 22:00:00,Hanoi,PM2.5 - Principal,2018,12,3,22,23.2,74,Moderate,20.0,UG/M3,1 Hr,Valid
2018-12-03 23:00:00,Hanoi,PM2.5 - Principal,2018,12,3,23,21.7,71,Moderate,19.0,UG/M3,1 Hr,Valid
2018-12-04 00:00:00,Hanoi,PM2.5 - Principal,2018,12,4,0,20.7,69,Moderate,19.0,UG/M3,1 Hr,Valid
2018-12-04 01:00:00,Hanoi,PM2.5 - Principal,2018,12,4,1,21.5,71,Moderate,23.0,UG/M3,1 Hr,Valid
2018-12-04 02:00:00,Hanoi,PM2.5 - Principal,2018,12,4,2,20.2,68,Moderate,18.0,UG/M3,1 Hr,Valid
